timestamp,service,status,response_time_ms,error_rate_percent,uptime_percent
2026-03-08 15:17:37,Patient Records API,Warning,264.95,2.73,95.0
2026-03-08 15:17:37,Appointment Booking API,Critical,520.93,7.04,95.71
2026-03-08 15:17:37,Lab Results API,Down,170.73,5.85,94.4
2026-03-08 15:17:37,Pharmacy Service API,Critical,192.94,6.95,99.79
2026-03-08 15:17:37,Authentication Service,Critical,543.39,4.64,97.92
2026-03-08 15:17:37,Patient Records API,Critical,171.53,5.2,97.5
2026-03-08 15:17:37,Appointment Booking API,Warning,186.51,3.92,96.94
2026-03-08 15:17:37,Lab Results API,Warning,269.05,3.77,99.4
2026-03-08 15:17:37,Pharmacy Service API,Down,495.6,1.49,94.89
2026-03-08 15:17:37,Authentication Service,Down,113.95,7.5,94.04
2026-03-08 15:17:42,Patient Records API,Critical,320.9,6.01,95.24
2026-03-08 15:17:42,Appointment Booking API,Critical,513.71,5.82,97.33
2026-03-08 15:17:42,Lab Results API,Down,83.9,3.38,94.22
2026-03-08 15:17:42,Pharmacy Service API,Warning,264.76,3.84,96.32
2026-03-08 15:17:42,Authentication Service,Warning,208.9,4.67,95.95
2026-03-08 15:17:42,Patient Records API,Critical,212.79,5.53,99.21
2026-03-08 15:17:42,Appointment Booking API,Critical,514.58,4.68,96.8
2026-03-08 15:17:42,Lab Results API,Warning,389.24,2.49,95.08
2026-03-08 15:17:42,Pharmacy Service API,Warning,391.12,1.2,99.1
2026-03-08 15:17:42,Authentication Service,Down,471.34,6.66,93.28
2026-03-08 15:17:48,Patient Records API,Critical,223.5,5.25,96.95
2026-03-08 15:17:48,Appointment Booking API,Critical,207.43,6.11,97.52
2026-03-08 15:17:48,Lab Results API,Down,152.52,2.68,93.02
2026-03-08 15:17:48,Pharmacy Service API,Critical,420.92,7.58,97.54
2026-03-08 15:17:48,Authentication Service,Warning,356.58,1.46,95.9
2026-03-08 15:17:48,Patient Records API,Critical,506.81,7.47,98.56
2026-03-08 15:17:48,Appointment Booking API,Critical,258.48,7.32,96.92
2026-03-08 15:17:48,Lab Results API,Down,503.1,1.84,93.96
2026-03-08 15:17:48,Pharmacy Service API,Critical,204.5,6.34,97.26
2026-03-08 15:17:48,Authentication Service,Critical,508.79,2.75,97.57
2026-03-08 15:17:53,Patient Records API,Healthy,111.47,0.76,97.55
2026-03-08 15:17:53,Appointment Booking API,Down,146.47,3.43,94.06
2026-03-08 15:17:53,Lab Results API,Down,234.06,4.39,94.68
2026-03-08 15:17:53,Pharmacy Service API,Warning,365.23,1.66,96.71
2026-03-08 15:17:53,Authentication Service,Warning,103.83,4.29,95.93
2026-03-08 15:17:53,Patient Records API,Critical,410.35,3.44,96.12
2026-03-08 15:17:53,Appointment Booking API,Warning,301.29,0.65,98.21
2026-03-08 15:17:53,Lab Results API,Down,414.49,2.02,94.79
2026-03-08 15:17:53,Pharmacy Service API,Critical,200.96,6.15,98.38
2026-03-08 15:17:53,Authentication Service,Warning,253.59,3.67,96.33
2026-03-08 15:17:58,Patient Records API,Warning,292.84,0.38,99.14
2026-03-08 15:17:58,Appointment Booking API,Down,90.51,3.38,93.57
2026-03-08 15:17:58,Lab Results API,Down,449.34,3.64,94.59
2026-03-08 15:17:58,Pharmacy Service API,Critical,427.35,2.54,98.78
2026-03-08 15:17:58,Authentication Service,Down,182.86,0.22,94.79
2026-03-08 15:17:58,Patient Records API,Critical,84.22,7.5,97.64
2026-03-08 15:17:58,Appointment Booking API,Critical,164.31,6.61,97.6
2026-03-08 15:17:58,Lab Results API,Warning,334.23,1.62,98.19
2026-03-08 15:17:58,Pharmacy Service API,Critical,512.94,5.79,95.35
2026-03-08 15:17:58,Authentication Service,Down,131.98,2.39,93.31
2026-03-08 15:17:59,Patient Records API,Critical,122.65,5.48,99.15
2026-03-08 15:17:59,Appointment Booking API,Critical,222.95,5.85,95.29
2026-03-08 15:17:59,Lab Results API,Critical,522.43,1.4,99.3
2026-03-08 15:17:59,Pharmacy Service API,Down,470.15,1.95,93.8
2026-03-08 15:17:59,Authentication Service,Down,249.31,6.54,93.63
2026-03-08 15:18:00,Patient Records API,Down,349.12,1.89,93.35
2026-03-08 15:18:00,Appointment Booking API,Critical,457.1,5.53,98.41
2026-03-08 15:18:00,Lab Results API,Critical,467.97,3.4,99.85
2026-03-08 15:18:00,Pharmacy Service API,Down,414.01,3.47,93.73
2026-03-08 15:18:00,Authentication Service,Critical,490.33,7.68,99.69
2026-03-08 15:18:03,Patient Records API,Warning,318.99,0.15,98.64
2026-03-08 15:18:03,Appointment Booking API,Critical,321.01,5.71,95.22
2026-03-08 15:18:03,Lab Results API,Warning,266.98,2.14,97.67
2026-03-08 15:18:03,Pharmacy Service API,Warning,354.97,2.28,96.94
2026-03-08 15:18:03,Authentication Service,Critical,494.21,3.15,97.44
2026-03-08 15:18:03,Patient Records API,Healthy,226.55,0.69,95.9
